judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
Perecanaan Pemeliharaan Berkala Jalan dan Perbaikan Bangunan Pelengkap di Jalan Jurusan Genteng - Temuguruh (link.222) dan Temuguruh - Wonorekso (link.223),Kabupaten Banyuwangi,,Perencanaan Jalan,15-01-2019,14-02-2019,Dinas Pekerjaan Umum Bina Marga UPT Pengelolaan Jalan dan Jembatan Banyuwangi
Perencanaan Pengembangan Jalan Usaha Tani Desa Kesilir Kecamatan Siliragung ,Kecamatan Siliragung,,Perencanaan Jalan,7-1-2019,4-2-2019,Dinas Pertanian Kab. Banyuwangi
Perencanaan Pengembangan Jalan Usaha Tani Desa Kandangan Kecamatan Pesanggaran ,Kecamatan Pesanggaran,,Perencanaan Jalan,9-4-2019,9-5-2019,Dinas Pertanian Kab. Banyuwangi
"Perencanaan Pemeliharaan Berkala Jalan Jurusan Genteng – Temuguruh (link. 222) dan Temuguruh – Wonorekso (Link. 223) Effektif = 2,000 Km",Kab. Bnayuwangi,,Perencanaan Jalan,15-01-2019,14-02-2019,Pemerintah Provinsi Jawa Timur Dinas Pekerjaan Umum Bina Marga 
Perencanaan Pengembangan Jalan Usaha Tani Di Desa Sumbermulyo Kecamatan Pesanggaran,Kecamatan Pesanggaran,,Perencanaan Jalan,13-01-2020,11-2-2020,Dinas Pertanian Dan Pangan Kab. Banyuwangi
Perencanaan Pengembangan Jalan Usaha Tani Di Desa Sarongan Kecamatan Pesanggaran ,Kecamatan Pesanggaran,,Perencanaan Jalan,13-01-2020,11-2-2020,Dinas Pertanian Dan Pangan Kab. Banyuwangi
Perencanaan Jalan Usaha Tani Di Desa Sumbergondo Kecamatan Glenmore,Kecamatan Glenmore,,Perencanaan Jalan,13-01-2020,11-2-2020,Dinas Pertanian Dan Pangan Kab. Banyuwangi
Perencanaan Pengembangan Jalan Usaha Tani Di Desa Kesilir Kecamatan Siliragung ,Kecamatan SilirAgung,,Perencanaan Jalan,13-01-2020,11-2-2020,Dinas Pertanian Dan Pangan Kab. Banyuwangi
Perencanaan Pengembangan Jalan Usaha Tani Di Desa Pesanggaran Kecamatan Pesanggaran,Kecamatan Pesanggaran,,Perencanaan Jalan,13-01-2020,13-02-2020,Dinas Pertanian Dan Pangan Kab. Banyuwangi
"A. Perencanaan Teknis Pemasangan Baru lampu Penerangan Jalan Umum (LPJU) Kecamatan Kapongan B. Perencanaan Teknis Pemasangan Baru Lampu Penerangan Jalan Umum (LPJU) Kecamatan Situbondo, Kecamatan Panji, Kecamatan Arjasa dan Kecamatan Jangkar C. Perencanaan Teknis Perbaikan Lampu PJU Kab. Situbondo",Kecamatan Situbondo,,Perencanaan Jalan,26-04-2019,25-05-2019,Dinas Perumahan dan Kawasan Pemukiman Pemerintah Kabupaten Situbondo
