judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
Peningkatan Kualitas  Sarana Dan Prsarana Di Sadengan ,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,8-5-2018,14-08-2018,Kementrian Lingkungan Hidup dan Kehutanan Balai Taman Nasional Alas Purwo
Pengawasan Peningkatan Kualitas Sarana Dan Prasarana Wisata Alam Di Trianggtulasi Tahap III ,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,2-5-2018,9-8-2018,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Pembuatan Plaza Terbuka Di Pandean Dan Pengawasan Pembuatan Art Shop Di Pandean,Kawasan Taman Nasional Baluran,,Pengawasan Gedung,31-08-2018,8-12-2018,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Baluran
KSL-18.05 Pengawasan Pembangunan SMKN 2 Tegalsari,Kecamatan Tegalsari - Banyuwangi,,Pengawasan Gedung,21-08-2018,24-12-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang Kab. Banyuwangi
KSL-18.04 Pengawasan Pembangunan Terminal Pariwisata Terpadu (Lanjutan),Kecamatan Banyuwangi,,Pengawasan Gedung,9-8-2018,17-12-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang Kab. Banyuwangi
Jasa Konsultansi Pengawasan Pembangunan Gedung Kuliah Fakultas MIPA Universitas Jember,Fakultas MIPA Universitas Jember,,Pengawasan Gedung,24-10-2018,28-02-2019,Kementerian Pendidikan Dan Kebudayaan Univesitas Jember 
Pengawasan Rehap Puskesmas Bulukandang ,"Kecamatan Bulukandang, Kab. Pasuruan ",,Pengawasan Gedung,12-7-2018,9-10-2018,Dinas Kesehatan Kabupaten Pasuruan
Pengawasan Rehap Puskesmas Sebani,"Kecamatan Pandaan, Kab. Pasuruan",,Pengawasan Gedung,12-7-2018,28-10-2018,Dinas Kesehatan Kabupaten Pasuruan
Pengawasan Rehap Pastu Tejowangi - Purwosari,"Kecamatan Purwosari, Kab. Pasuruan",,Pengawasan Gedung,12-7-2018,9-10-2018,Dinas Kesehatan Kabupaten Pasuruan
Konsultan Pengawas Pembangunana Gedung Satpas Polres Situbondo (Gedung Dan Fasum) Dan Pekerjaan Lapangan Uji Praktek (Pekerjaan Jalan ,Kecamatan Kapongan Kabupaten Situbondo,,Pengawasan Gedung,22-05-2018,17-11-2018,Kepolisian Republik Indonesia Daerah Jawa Timur Resort Situbondo
Pengawasan Penataan Areal Publik Trianggulasi,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,17-10-2018,5-12-2018,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Penataan Lingkungan Pesanggrahan Trianggulasi,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,13-11-2018,27-12-2018,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Renovasi Kantor Pengelola Wisata Rowobendo,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,13-11-2018,27-12-2018,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Peningkatan Kualitas Sarana Prasarana di Zona Pemanfaatan Sembulungan ,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,21-01-2019,19-07-2019,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Peningkatan Kualitas Sarana Prasarana Di Zona Pemanfaatan Jatipapak,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,21-01-2019,17-09-2019,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Peningkatan Kualitas Sarana Prasarana di Zona Pemanfaatan Sembulungan Tahap II,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,9-8-2019,26-11-2019,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Peningkatan Kualitas Saranan Prasaranan di Zona Pemanfaatan Pancur Tahap II,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,23-08-2019,20-11-2019,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Pemeliharaan-perbaikan Gedung dan Bangunan Kantor,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,29-10-2019,17-12-2019,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Desain Interior Visitor Center Jatipapak,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,24-10-2019,29-11-2019,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Desain Interior Visitor Center Sembulungan ,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,10-10-2019,29-11-2019,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pembangunan Fasilitas Publik (Pengawasan 005.16. Pembangunan Terminal Pariwisata Terpadu (Lanjutan),Kecamatan Banyuwangi,,Pengawasan Gedung,13-08-2019,26-12-2019,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang Kab. Banyuwangi
Pengawasan Pembangunan RSUD Grati Tahap III (Lanjutan),Raci – Bangil Kabupaten Pasuruan,,Pengawasan Gedung,2-9-2019,30-12-2019,Dinas Kesehatan Kabupaten Pasuruan
KSL-22 Jasa Konsultan Pengawas G06. Penataan Lansdcape di Grand Watu Dodol Sisi Selatan,Kecamatan Wongsorejo,,Pengawasan Gedung,16-09-2019,14-12-2019,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang Kab. Banyuwangi
KSL-24 Jasa Konsultan Pengawas G18. Penataan Taman Blambangan ,Kecamatan Banyuwangi,,Pengawasan Gedung,2-10-2019,20-12-2019,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang Kab. Banyuwangi
Pengawasan Pembangunan Dan Pengadaan Utilitas UPT UPBJJ-UT Tarakan Tahap II,"Kota Tarakan, Kalimantan Utara",,Pengawasan Gedung,13-06-2019,9-12-2019,"Kementerian Riset, Teknologi Dab Pendidikan Tinggi Universitas Terbuka"
Pengaweasan Konstruksi Gedung Asrama Dan Flat Dosen,Kampus Politeknik KP Pangandaran ,,Pengawasan Gedung,26-07-2019,22-12-2019,Kementerian Kelautan dan Perikanan Pusat Pendidikan Kelautan Dan Perikanan
Supervisi Pembangunan Rest Area Sisi Barat KKJSM Tahap 4 dan Pembangunan Lanskap Eks PKL Tahap 2,Suramadu,,Pengawasan Gedung,23-09-2019,31-12-2019,Badan Pengembangan Wilayah Surabaya Madura
Jasa Pengawasan Pembangunan RPH Purwoharjo,Kecamatan Purwoharjo,,Pengawasan Gedung,6-8-2019,11-11-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi
